Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:227tUmaehtXJf6QBjzsFjX,"800","Boréal","Bekar",2019-03-22,192704,23,true,osorys,2025-06-26T22:22:35Z,"rap français","NorthFace Records",0.685,0.462,5,-7.723,0,0.275,0.603,0.000119,0.112,0.311,135.375,4
spotify:track:2wuGimDeFtfrzZjrkWo7nO,"Téla","Boréal","Bekar",2019-03-22,181977,31,true,osorys,2025-06-26T22:22:35Z,"rap français","NorthFace Records",0.766,0.516,5,-8.62,1,0.31,0.248,0,0.132,0.67,140.054,4
spotify:track:38qjw0er6mPkYoMOwizWAY,"La mort a du goût","Boréal","Bekar",2019-03-22,233317,52,false,osorys,2025-06-26T22:22:35Z,"rap français","NorthFace Records",0.748,0.589,6,-8.034,0,0.0498,0.3,0,0.138,0.179,125.116,4
spotify:track:51CykOM6f4OZ6wUqLyVTJb,"Potion magique","Boréal","Bekar;Balao",2019-03-22,193737,22,true,osorys,2025-06-26T22:22:35Z,"rap français","NorthFace Records",0.747,0.489,5,-8.019,1,0.214,0.483,0.0000204,0.1,0.279,72.508,4
spotify:track:06vZuuligLxZEkOwlwnhQF,"Sapologie","Boréal","Bekar",2019-03-22,203018,26,true,osorys,2025-06-26T22:22:35Z,"rap français","NorthFace Records",0.626,0.664,6,-6.609,0,0.191,0.0313,0,0.172,0.616,99.634,4
spotify:track:6FNqzlZujVtQuDjA7BYutl,"Sucré","Boréal","Bekar",2019-03-22,239037,28,true,osorys,2025-06-26T22:22:35Z,"rap français","NorthFace Records",0.719,0.671,2,-8.901,1,0.0915,0.496,0,0.131,0.427,95.056,4
spotify:track:3aPe07v8t5gu5laUWIHTMK,"Byebye","Boréal","Bekar",2019-03-22,209590,23,true,osorys,2025-06-26T22:22:35Z,"rap français","NorthFace Records",0.757,0.723,5,-6.477,0,0.31,0.547,0,0.611,0.662,102.809,3
spotify:track:65k4zzDAtYluDAEOVWEydD,"Noir & bleu","Boréal","Bekar",2019-03-22,181988,34,false,osorys,2025-06-26T22:22:35Z,"rap français","NorthFace Records",0.569,0.54,7,-7.712,0,0.0528,0.0151,0.0000119,0.129,0.213,78.052,4
spotify:track:2bNp80ryAOuCpMzK09SSzs,"Seattle","Boréal","Bekar",2019-03-22,178610,23,true,osorys,2025-06-26T22:22:35Z,"rap français","NorthFace Records",0.705,0.791,5,-5.625,1,0.205,0.501,0.00000323,0.117,0.234,82.486,4
spotify:track:5wvBhvBujiVDkZ3JFxVQNr,"Fé","Boréal","Bekar",2019-03-22,256731,24,true,osorys,2025-06-26T22:22:35Z,"rap français","NorthFace Records",0.559,0.681,8,-8.717,0,0.666,0.242,0.00000138,0.212,0.153,83.062,4
