Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2xGjfbXZnI8uQDhukoQURQ,"K.","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,319560,85,false,osorys,2025-08-12T00:56:36Z,"dream pop","Partisan Records",0.454,0.404,3,-10.26,1,0.027,0.146,0.819,0.141,0.313,94.113,4
spotify:track:4cV9zzKtPtW4i0FhnEwazU,"Each Time You Fall in Love","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,290160,71,false,osorys,2025-08-12T00:56:36Z,"dream pop","Partisan Records",0.383,0.534,10,-8.829,1,0.0277,0.468,0.676,0.14,0.276,76.046,4
spotify:track:0yuAWlxq59xT3agQ965OxE,"Sunsetz","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,214680,85,false,osorys,2025-08-12T00:56:36Z,"dream pop","Partisan Records",0.412,0.477,9,-9.381,0,0.029,0.0542,0.798,0.0975,0.141,75.302,4
spotify:track:1oAwsWBovWRIp7qLMGPIet,"Apocalypse","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,290146,90,false,osorys,2025-08-12T00:56:36Z,"dream pop","Partisan Records",0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,4
spotify:track:6eknHC7HjAKchl23x2A7dW,"Flash","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,274106,69,false,osorys,2025-08-12T00:56:36Z,"dream pop","Partisan Records",0.56,0.363,0,-10.367,0,0.0245,0.312,0.85,0.1,0.128,73.215,4
spotify:track:2KhrPRV0V1FS2l4eQMJUWt,"Sweet","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,291640,84,false,osorys,2025-08-12T00:56:36Z,"dream pop","Partisan Records",0.448,0.511,6,-9.084,1,0.0274,0.362,0.823,0.129,0.112,96.321,4
spotify:track:2Ddfm2NQwTRsf7YVlt258S,"Opera House","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,364680,73,false,osorys,2025-08-12T00:56:36Z,"dream pop","Partisan Records",0.319,0.293,5,-14.145,1,0.0378,0.734,0.85,0.0971,0.0689,115.481,4
spotify:track:6i2XzqnaxvpNVTUw8EjPMU,"Truly","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,243640,67,false,osorys,2025-08-12T00:56:36Z,"dream pop","Partisan Records",0.44,0.387,4,-9.792,1,0.0279,0.148,0.559,0.0844,0.267,96.556,4
spotify:track:4xbN7giFhdGbSQTPyG178F,"John Wayne","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,258013,77,false,osorys,2025-08-12T00:56:36Z,"dream pop","Partisan Records",0.429,0.457,3,-8.375,1,0.0294,0.35,0.859,0.099,0.183,124.033,4
spotify:track:2XIX01WCkNRqL1gQ5OBgJt,"Young & Dumb","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,273426,65,true,osorys,2025-08-12T00:56:36Z,"dream pop","Partisan Records",0.388,0.53,0,-8.87,1,0.0287,0.512,0.635,0.104,0.234,96.56,4
