Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6DBSDcKDo51KcUmEqCTHzB,"Je vis je visser","Que la famille","PNL",2015-03-02,226533,66,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","Pnl",0.302,0.764,8,-5.467,0,0.221,0.839,0,0.0867,0.35,175.324,3
spotify:track:6MFgXEY6NHbZFlRG86sZFM,"Lala","Que la famille","PNL",2015-03-02,258426,58,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","Pnl",0.501,0.788,0,-6.076,1,0.267,0.563,0,0.0652,0.568,119.915,4
spotify:track:1jfQWfVfBtZ7LGkU4H5O15,"Différents","Que la famille","PNL",2015-03-02,371906,53,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","Pnl",0.471,0.815,4,-5.899,0,0.306,0.576,0,0.29,0.554,126.015,4
spotify:track:6Y6xuPfmCKauttmFlaH8Dd,"Obligés de prendre","Que la famille","PNL",2015-03-02,202013,57,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","Pnl",0.703,0.63,10,-6.946,0,0.353,0.778,0,0.107,0.435,68.032,4
spotify:track:1XAPR5oqXVJzPnUhc4tdHC,"De la fenêtre au ter ter","Que la famille","PNL;Bizon;Ilinas;S-Pion",2015-03-02,269080,50,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine,cloud rap","Pnl",0.597,0.766,1,-6.091,0,0.142,0.11,0,0.135,0.39,119.017,4
spotify:track:4qoqOy8xklK8Ih5UaADjEn,"PNL","Que la famille","PNL",2015-03-02,222013,60,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","Pnl",0.798,0.535,10,-6.096,1,0.0665,0.126,0,0.21,0.116,124.004,4
spotify:track:1CxtymiucDK0AB9vgGZ6q2,"J’comprends pas","Que la famille","PNL",2015-03-02,283493,72,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","Pnl",0.373,0.523,1,-9.111,1,0.041,0.228,0.0171,0.111,0.0398,104.959,4
spotify:track:336GFxSsufer22TWIVuKJu,"Gala gala","Que la famille","PNL",2015-03-02,224626,56,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","Pnl",0.549,0.726,5,-6.257,0,0.248,0.402,0,0.116,0.358,120.03,4
spotify:track:5uV4c4mBdNS7UiEVcJkxry,"La petite voix","Que la famille","PNL",2015-03-02,260386,51,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","Pnl",0.745,0.601,1,-7.503,1,0.0493,0.489,0,0.12,0.32,99.937,4
spotify:track:5CClqJm1hFOoS311SBkboo,"Athéna","Que la famille","PNL;R.K.M & Ken-Y;N Dirty Deh",2015-03-02,293066,50,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine,reggaeton,fújì","Pnl",0.818,0.67,9,-6.382,0,0.378,0.375,0,0.0922,0.4,118.119,4
spotify:track:6RUDy5zJzIiMqEViAI2sPm,"Recherche du bonheur","Que la famille","PNL",2015-03-02,222880,59,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","Pnl",0.617,0.66,6,-7.213,0,0.257,0.555,0,0.0786,0.189,130.889,4
spotify:track:0zRgwXAHWPOVk9ml0aF7Dx,"Simba","Que la famille","PNL",2015-03-02,242026,54,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","Pnl",0.615,0.689,10,-6.772,0,0.152,0.728,0,0.109,0.459,127.968,4
spotify:track:7dn6WQzScfRGpp7XdTiCj0,"Le monde ou rien","Le monde Chico","PNL",2015-10-30,256280,64,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","QLF Records",0.648,0.465,6,-9.716,0,0.171,0.772,0.00000198,0.287,0.407,103.025,4
spotify:track:1J4RXX9fjPliGlHzvXlKtN,"Sur Paname","Le monde Chico","PNL",2015-10-30,247069,65,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","QLF Records",0.601,0.596,5,-9.265,0,0.0601,0.727,0.00000386,0.0869,0.305,129.908,4
spotify:track:1mmOcSVsxfbXm72XkvwEhK,"Oh lala","Le monde Chico","PNL",2015-10-30,247288,60,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","QLF Records",0.662,0.603,9,-8.317,0,0.0793,0.44,0,0.0972,0.352,125.011,4
spotify:track:4P1OJmboyx6JmFd8yT0qYA,"J'vends","Le monde Chico","PNL",2015-10-30,230007,54,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","QLF Records",0.722,0.729,0,-6.809,1,0.178,0.27,0.0000194,0.107,0.394,117.927,4
spotify:track:13UuCiJPWwDopyS5nhgBkm,"Abonné","Le monde Chico","PNL",2015-10-30,217411,51,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","QLF Records",0.752,0.587,7,-6.273,0,0.114,0.586,0,0.0734,0.226,110.036,4
spotify:track:74w7XGtFixyI8w1vTHjfcL,"J'suis PNL","Le monde Chico","PNL",2015-10-30,271236,59,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","QLF Records",0.763,0.518,7,-7.015,1,0.0828,0.756,0,0.0773,0.119,105.944,4
spotify:track:4di2vpRLHHZ5u4UtlTMiNZ,"Mexico","Le monde Chico","PNL",2015-10-30,244688,65,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","QLF Records",0.62,0.723,1,-6.948,0,0.0573,0.378,0,0.111,0.491,112.969,4
spotify:track:26IB6QbCisBOf6AoQT37XW,"Porte de Mesrine","Le monde Chico","PNL",2015-10-30,291173,55,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","QLF Records",0.485,0.566,8,-5.956,1,0.077,0.0664,0.00000298,0.379,0.102,118.88,4
spotify:track:4p6MASsCBEe49pZwP6rFtV,"Dans ta rue","Le monde Chico","PNL",2015-10-30,329406,55,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","QLF Records",0.723,0.802,9,-6.364,0,0.0567,0.44,0,0.206,0.608,116.97,4
spotify:track:42e7c5XYbcaxWt0SfZkf3j,"Laisse","Le monde Chico","PNL",2015-10-30,222702,54,false,osorys,2025-08-20T16:39:04Z,"rap français,pop urbaine","QLF Records",0.742,0.622,11,-5.104,1,0.0449,0.136,0,0.136,0.368,124.053,4
