Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2YuySJd7C2aoBarBP8OvzR,"drifting","drifting","Night Tapes",2023-12-01,212440,67,true,osorys,2025-05-10T09:12:41Z,"dream pop,lo-fi indie","Nettwerk Music Group",0.584,0.732,2,-7.09,1,0.0565,0.608,0.39,0.137,0.515,126.294,4
spotify:track:41HyMiZSBLGlfopnDE7Ppc,"Baby Baby","Get A Good Look","Sports",2022-02-11,182601,67,false,osorys,2025-05-10T09:13:04Z,"","Sports",0.762,0.672,11,-5.358,1,0.0346,0.111,0.807,0.0461,0.841,76.496,4
spotify:track:02l8T7IJ5UQE19m8cjY20f,"If You Love Her","No Rush","Tokyo Tea Room",2025-01-24,164083,61,false,osorys,2025-05-10T09:13:18Z,"dream pop","Nice Guys",0.678,0.579,9,-9.405,0,0.0369,0.674,0.536,0.121,0.499,89.988,4
spotify:track:051DhNFTui0IItRIRL5Mvj,"Tell Me How","No Rush","Tokyo Tea Room",2025-01-24,197389,59,false,osorys,2025-05-10T09:13:22Z,"dream pop","Nice Guys",0.693,0.366,11,-9.102,0,0.0419,0.938,0.816,0.106,0.505,159.964,4
spotify:track:4r1yQfwjeQL9xrX1fbOdsD,"Nobody's Perfect","No Rush","Tokyo Tea Room",2025-01-24,160754,53,false,osorys,2025-05-10T09:13:26Z,"dream pop","Nice Guys",0.617,0.568,9,-9.749,0,0.0285,0.605,0.884,0.106,0.234,85.002,4
spotify:track:2j32Q0EtMeEYhRfqVOlprO,"It's Me & You","It's Me & You","Tokyo Tea Room",2022-05-31,218492,58,false,osorys,2025-05-10T09:13:29Z,"dream pop","Nice Guys",0.691,0.592,4,-8.337,1,0.0296,0.307,0.907,0.103,0.548,104.971,4
spotify:track:1twDCOi0Qi28Vxu4v6K0WC,"There's A Place","No Rush","Tokyo Tea Room",2025-01-24,169055,60,false,osorys,2025-05-10T09:13:34Z,"dream pop","Nice Guys",0.737,0.445,0,-9.776,1,0.0314,0.518,0.707,0.0874,0.499,105.051,4
spotify:track:2D1LIEnjmKBsRRJGaRWkbA,"Lucky","Lucky","Tyzo Bloom;Freak Slug",2022-11-25,171111,62,false,osorys,2025-05-10T09:23:47Z,"lo-fi indie,dream pop,bedroom pop","UnderCurrent",0.736,0.568,9,-8.32,1,0.0273,0.0933,0.668,0.17,0.305,107.943,4
spotify:track:2f526wBHCGx6u6HsbF0uAE,"to be free","to be free","Night Tapes",2024-11-01,230476,43,false,osorys,2025-05-10T09:26:03Z,"dream pop,lo-fi indie","Nettwerk Music Group",0.549,0.797,1,-5.21,0,0.0861,0.351,0.644,0.27,0.514,126.004,4
spotify:track:1orDT3tSQjSx6W7UqMLliR,"Up Late","Coping Habits","Beach Vacation",2023-09-15,159863,46,false,osorys,2025-05-10T09:30:37Z,"dream pop","16 Entertainment LLC",0.581,0.713,11,-8.151,1,0.0289,0.255,0.945,0.119,0.538,124.047,4
spotify:track:4x3OGlKxjVTpGvxSYZKA1y,"Real Life","Real Life","COOL HEAT",2023-12-01,195990,1,false,osorys,2025-05-10T09:33:08Z,"dream pop,shoegaze,lo-fi indie","COOL HEAT",0.498,0.781,9,-8.271,1,0.0314,0.182,0.993,0.114,0.236,152.993,4
spotify:track:0ler9C55DJbLJsgJprlFis,"projections","projections","Night Tapes",2024-04-26,260485,44,false,osorys,2025-05-10T09:34:19Z,"dream pop,lo-fi indie","Nettwerk Music Group",0.7,0.647,1,-7.303,1,0.0348,0.385,0.432,0.175,0.55,120.995,4
spotify:track:6sgnvABaQ82zq4Pm6abqb1,"It Soothes Me","Coping Habits","Beach Vacation",2023-09-15,131842,55,false,osorys,2025-05-10T09:38:00Z,"dream pop","16 Entertainment LLC",0.506,0.926,11,-8.424,1,0.0312,0.153,0.818,0.233,0.93,152.044,4
spotify:track:3hv0c9crZAmWBqGxhDkuYF,"You and Me","You and Me","Butter Bath",2020-05-19,199060,51,false,osorys,2025-05-10T09:41:10Z,"","Nice Guys",0.56,0.611,11,-6.211,0,0.028,0.247,0.0734,0.0523,0.641,85.014,4
spotify:track:4RkQzVNxEt6JwOXCWolXsr,"I'm a Kid","Melt Away","Jadu Heart",2019-08-16,206500,64,false,osorys,2025-05-10T09:46:37Z,"indie soul","VLF Records",0.657,0.606,10,-7.238,0,0.0294,0.000847,0.000198,0.122,0.837,120.037,4
spotify:track:1Z9EDQWD5JkD72YMjtoYkZ,"Better","Care 2 Share","Hector Gachan",2022-06-10,239660,48,false,osorys,2025-05-10T09:47:12Z,"bedroom pop","Nice Guys",0.705,0.63,11,-7.984,0,0.0337,0.0168,0.000348,0.117,0.488,87.047,4
spotify:track:0NTlrh71EoG5wGBZkP6uBW,"Flow","Flow","Love Spells",2023-08-10,188764,43,false,osorys,2025-05-10T09:47:44Z,"","afeelin",0.521,0.79,4,-5.597,1,0.0332,0.0222,0.00000485,0.0762,0.852,100.001,4
spotify:track:2BKhMeOOjLohwCOuobeiVd,"Can I Call You Tonight? / Quarterback","Can I Call You Tonight? / Quarterback","Cal in Red",2022-09-02,195310,59,false,osorys,2025-05-10T09:50:02Z,"","B3SCI Records",0.597,0.769,9,-6.299,1,0.0449,0.0197,0.00102,0.0627,0.485,125.041,4
