Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0mUJsaYBZF4xtRnmB1RoM7,"Joint de culotte","Y&W","Nekfeu",2017-08-11,216200,0,true,osorys,2018-08-08T06:54:58Z,"rap français","Y&W",0.487,0.294,1,-11.016,1,0.199,0.424,0,0.106,0.192,82.437,4
spotify:track:4HiqVUuoviBjxLTnFkbFG3,"Egérie","Feu","Nekfeu",2015-06-08,210452,0,false,osorys,2018-08-08T06:55:27Z,"rap français","Universal Music Group",0.863,0.565,11,-8.61,0,0.109,0.433,0,0.109,0.381,116.954,4
spotify:track:6Jws2Kdwkgaxc1IdzO5Ebk,"Prisonniers du globe","Trap'N'Roll","Kpoint",2017-11-24,259848,27,true,osorys,2018-08-08T06:55:39Z,"rap français,pop urbaine","Rec. 118 / 432 Inc",0.859,0.377,4,-11.614,0,0.118,0.761,0.00103,0.0821,0.131,119.941,4
spotify:track:6lNAVkEoBqqxQbaeqUoIKE,"Fumée verte","Bende Mafia","Panama Bende",2016-06-19,366896,31,true,osorys,2018-08-08T06:55:51Z,"rap français","Panama Bende",0.592,0.537,11,-6.913,0,0.435,0.221,0.0000714,0.174,0.544,174.556,4
spotify:track:6WQoyaYFbuIxaNVrN3IECL,"Épilogue","Épilogue","Luidji",2017-07-26,192549,0,false,osorys,2018-08-08T06:56:06Z,"rap français,r&b français","Independent",0.521,0.536,6,-6.915,1,0.0949,0.432,0,0.117,0.538,136.166,3
spotify:track:7boPPE857KEqCIHNwFkDop,"Audio","Audio","Sia;Diplo;Labrinth;LSD",2018-05-10,203400,1,false,osorys,2018-08-08T06:56:10Z,"moombahton,dance-pop","Records/Columbia",0.365,0.692,3,-4.586,0,0.0671,0.192,0.00000151,0.0862,0.372,89.998,4
spotify:track:1TFsOckh4vFv092jOS0SHj,"Bootsy Bellows","Rolling Papers 2","Wiz Khalifa",2018-07-13,204591,44,true,osorys,2018-08-08T07:00:26Z,"","Taylor Gang/Atlantic",0.795,0.485,11,-7.365,0,0.293,0.443,0.00000147,0.349,0.6,77.572,4
spotify:track:7IBSffWIu7P2MC7kMwy2FM,"Hopeless Romantic (feat. Swae Lee)","Rolling Papers 2","Wiz Khalifa;Swae Lee",2018-07-13,226742,66,true,osorys,2018-08-08T07:00:35Z,"","Taylor Gang/Atlantic",0.877,0.477,9,-7.379,0,0.0587,0.307,0,0.0929,0.552,127.023,4
spotify:track:5gJTFGsEWpjma28XdJbkWP,"Motel","CRUISE","Ashh",2015-12-24,241352,65,true,osorys,2018-08-08T07:02:54Z,"rap français","Universal Music Division Virgin Records Distribution Deal",0.393,0.627,9,-10.743,0,0.0537,0.217,0.0102,0.103,0.0966,92.937,4
spotify:track:27Veu25XMmS28IkjhfMMVP,"Marie-Jeanne","Marie-Jeanne","Luidji",2017-04-16,213368,0,true,osorys,2018-08-08T07:03:04Z,"rap français,r&b français","Foufoune Palace Records",0.821,0.284,1,-13.12,1,0.0719,0.525,0.000784,0.104,0.264,125.972,4
