Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4vxEx7reVUeKFvA7u6bLAF,"Digital Trouble","Digital Trouble","Felckin;Pandrezz",2018-04-27,216233,9,false,osorys,2020-03-12T16:42:12Z,"tekno,lo-fi hip-hop,lo-fi,lo-fi beats","Felckin",0.537,0.905,1,-5.91,1,0.0739,0.00034,0.339,0.262,0.234,153.999,4
spotify:track:3ygygDgeSK98dfOknKRLUw,"Timmy Goes To Space","Slow Love","Mr. Maen",2014-04-21,212753,24,false,osorys,2020-05-08T13:21:12Z,"synthwave,vapor-wave,chillwave","On The Fruit Music",0.434,0.911,6,-6.238,1,0.0349,0.0000479,0.00328,0.0923,0.319,127,4
spotify:track:5ZGyn0NX8gFmluoK56Atkz,"The Girl (Mr FijiWiji Remix) [feat. Cozi Zuehlsdorff]","The Girl (The Remixes)","Hellberg;Cozi Zuehlsdorff",2015-07-13,333960,0,false,osorys,2020-05-09T20:24:24Z,"","Monstercat",0.462,0.653,9,-6.763,0,0.0505,0.0521,0.00000347,0.178,0.0423,110.04,4
spotify:track:0LhOeLWjOX4sY1uUq3MC6x,"ILY","Kiko","Panda Eyes",2015-10-16,229093,0,false,osorys,2020-05-09T20:24:28Z,"dubstep,deathstep,drumstep","Panda Eyes",0.386,0.716,5,-4.473,0,0.0503,0.00351,0.836,0.178,0.13,110.106,4
spotify:track:5KIf68es0Xxslu2pR4kmx8,"KIKO","Kiko","Panda Eyes",2015-10-16,312946,0,false,osorys,2020-05-09T20:24:32Z,"dubstep,deathstep,drumstep","Panda Eyes",0.468,0.709,2,-6.031,0,0.126,0.139,0.0145,0.073,0.145,110.031,4
spotify:track:3uZtP8Jf7rdRS7ARASBLmN,"Highscore","KIKO","Panda Eyes;Teminite",2015-10-16,259683,0,false,osorys,2020-05-09T20:43:52Z,"dubstep,deathstep,drumstep","Panda Eyes Records",0.603,0.853,10,-4.802,0,0.0422,0.00218,0.861,0.0623,0.274,109.979,4
spotify:track:1ME8Thb5mDmBYTI3I5f3uJ,"Breathe","Breathe","ZABO",2018-10-05,199200,46,false,osorys,2021-04-21T15:10:09Z,"","Uprise Music",0.561,0.547,5,-5.345,0,0.0825,0.0622,0.874,0.149,0.202,99.982,4
spotify:track:5kXsUxYZbRJ58plUgjQp3r,"Satellite","Vessels","STARSET",2017-01-20,239253,54,false,osorys,2022-08-28T15:32:12Z,"","Fearless Records",0.385,0.925,2,-5.888,0,0.132,0.0000773,0,0.153,0.323,76.957,4
spotify:track:4hnc1vhTnLZKmJTnnHCCj7,"Make The World Ours","Hardwell presents Revealed Volume 8","Hardwell",2017-10-13,248000,36,false,osorys,2022-09-08T07:50:16Z,"big room,edm,house progressive,electronica","Revealed Recordings",0.533,0.97,1,-3.467,1,0.288,0.00949,0.0729,0.433,0.201,149.985,4
spotify:track:0agcjfWj65lX5YS5s9AvdM,"My Mind","My Mind","OBREAKZ",2021-11-26,166344,7,false,osorys,2022-09-13T16:23:03Z,"big room","Intensity Recordings",0.501,0.936,1,-3.125,1,0.0762,0.00342,0.00611,0.339,0.655,145.066,4
spotify:track:1Ic64CNrb7cZXrClDYDjpV,"Need You Now","Need You Now","TCM;Anklebreaker",2019-04-08,184837,29,false,osorys,2022-09-28T14:20:26Z,"hardstyle","For The Crown",0.2,0.605,2,-8.318,1,0.041,0.0144,0,0.0785,0.114,149.768,4
spotify:track:6uHfIVcZBXYpXuqOXOWB2b,"Psyhaus","Psyhaus","Juicy M;Subshock & Evangelos",2019-01-11,208000,39,false,osorys,2022-09-30T11:09:29Z,"bass house,bassline,drum & bass","Spinnin' Premium",0.619,0.931,2,-4.397,1,0.13,0.00121,0.795,0.177,0.159,150.089,4
spotify:track:31w4zlTpovdyggvHvdWBuV,"Soft Ass Shit","Renaissance Of Rave","Sub Zero Project;Timmy Trumpet",2022-07-01,239111,40,true,osorys,2022-10-05T14:50:32Z,"hardstyle,frenchcore,hardcore,melbourne bounce,big room","Dirty Workz",0.514,0.767,1,-6.043,1,0.096,0.000372,0.00844,0.135,0.0372,163.042,4
spotify:track:5CBV7Q4ZXw3r2wVd5aGaDt,"Lions","Lions","Sub Zero Project",2022-03-10,274910,32,false,osorys,2022-10-05T14:51:04Z,"hardstyle,frenchcore,hardcore","Dirty Workz",0.27,0.863,10,-5.574,0,0.128,0.000201,0.00498,0.137,0.169,149.681,4
spotify:track:2EbsWEqVjOOf43ht7lE27b,"The Girl - Stonebank Remix","The Girl (The Remixes)","Hellberg;Cozi Zuehlsdorff;Stonebank",2015-07-13,253416,35,false,osorys,2022-10-31T22:38:43Z,"happy hardcore,dubstep","Monstercat",0.494,0.96,9,-2.151,0,0.279,0.0154,0.0000854,0.134,0.424,169.986,4
